Device Category,In-Market Segment,Affinity Category (reach),Day of Week,Source / Medium,Avg. % Conversion Probability,Avg. Session Duration,New Users,Sessions,Avg. Order Value,Avg. QTY
desktop,Business Services/Advertising & Marketing Services,Sports & Fitness/Sports Fans/American Football Fans,1,mall.googleplex.com / referral,20.1,0:05:50,4,13,$183.88,1.71
desktop,Business Services/Advertising & Marketing Services,News & Politics/Avid News Readers,0,mall.googleplex.com / referral,19.8,0:03:17,3,10,$32.76,1.17
desktop,Home & Garden/Home Furnishings,News & Politics/Avid News Readers,1,mall.googleplex.com / referral,19.3,0:05:08,3,13,$423.18,16.6
desktop,Business Services/Advertising & Marketing Services,News & Politics/Avid News Readers/Avid Political News Readers,0,mall.googleplex.com / referral,18.8,0:04:08,3,12,$44.75,1
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Cooking Enthusiasts/Aspiring Chefs,1,mall.googleplex.com / referral,18.4,0:01:57,3,11,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Banking & Finance/Avid Investors,0,mall.googleplex.com / referral,17.8,0:02:45,4,14,$20.78,2
desktop,Financial Services/Investment Services,Sports & Fitness/Sports Fans/American Football Fans,1,mall.googleplex.com / referral,17.5,0:04:45,6,12,$117.93,1.56
desktop,Business Services/Advertising & Marketing Services,Travel/Travel Buffs,0,mall.googleplex.com / referral,17.5,0:04:30,4,15,$56.44,3
desktop,Travel/Trips by Destination/Trips to North America/Trips to the US,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,17.3,0:03:16,4,10,$0.00,0
desktop,Home & Garden/Home Furnishings,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,17.1,0:06:28,4,15,$423.18,16.6
desktop,Real Estate/Residential Properties,Lifestyles & Hobbies/Outdoor Enthusiasts,1,mall.googleplex.com / referral,17,0:04:25,4,12,$0.00,0
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Technology/Technophiles,1,mall.googleplex.com / referral,17,0:05:06,4,13,$0.00,0
desktop,Travel/Air Travel,Lifestyles & Hobbies/Pet Lovers,1,mall.googleplex.com / referral,17,0:05:01,3,13,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Home & Garden/Do-It-Yourselfers,1,sites.google.com / referral,16.9,0:01:53,6,12,$0.00,0
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,16.9,0:05:19,4,13,$0.00,0
desktop,Real Estate/Residential Properties,Lifestyles & Hobbies/Shutterbugs,1,mall.googleplex.com / referral,16.8,0:03:52,6,16,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Lifestyles & Hobbies/Pet Lovers,1,mall.googleplex.com / referral,16.7,0:04:14,2,22,$58.67,13
desktop,Business Services/Advertising & Marketing Services,Beauty & Wellness/Frequently Visits Salons,1,mall.googleplex.com / referral,16.7,0:04:48,8,33,$479.20,7.27
desktop,Home & Garden/Home Furnishings,Media & Entertainment/Book Lovers,1,mall.googleplex.com / referral,16.6,0:02:56,5,13,$423.18,16.6
desktop,Business Services/Advertising & Marketing Services,Lifestyles & Hobbies/Art & Theater Aficionados,1,sites.google.com / referral,16.5,0:01:26,4,12,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Media & Entertainment/Music Lovers,1,sites.google.com / referral,16.5,0:01:26,4,12,$0.00,0
desktop,Business Services/Advertising & Marketing Services,News & Politics/Avid News Readers/Avid Political News Readers,1,sites.google.com / referral,16.5,0:01:26,4,12,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Sports & Fitness/Health & Fitness Buffs,1,sites.google.com / referral,16.5,0:01:26,4,12,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Lifestyles & Hobbies/Shutterbugs,1,sites.google.com / referral,16.5,0:01:23,4,12,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Coffee Shop Regulars,1,sites.google.com / referral,16.4,0:01:23,4,12,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Shoppers/Shoppers by Store Type/Department Store Shoppers,1,mall.googleplex.com / referral,16.4,0:05:15,3,16,$352.72,8.75
desktop,Consumer Electronics/Mobile Phones,Vehicles & Transportation/Auto Enthusiasts,1,sites.google.com / referral,16.4,0:03:05,6,14,$0.00,0
desktop,Real Estate/Residential Properties,Shoppers/Shopaholics,1,mall.googleplex.com / referral,16.4,0:05:53,5,13,$0.00,0
desktop,Home & Garden/Home Furnishings,News & Politics/Avid News Readers/Avid Political News Readers,1,mall.googleplex.com / referral,16.3,0:03:28,5,16,$423.18,16.6
desktop,Travel/Hotels & Accommodations,Lifestyles & Hobbies/Pet Lovers,1,mall.googleplex.com / referral,16.2,0:04:04,7,22,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Beauty & Wellness/Frequently Visits Salons,0,mall.googleplex.com / referral,16.2,0:03:45,4,12,$62.29,5.5
desktop,Software/Business & Productivity Software,News & Politics/Avid News Readers/Avid Political News Readers,0,mall.googleplex.com / referral,16.1,0:10:04,2,11,$44.75,1
desktop,Home & Garden/Home Furnishings,Travel/Travel Buffs,1,mall.googleplex.com / referral,16.1,0:05:58,5,20,$315.37,18
desktop,Home & Garden/Home Furnishings,Food & Dining/Cooking Enthusiasts/Aspiring Chefs,1,mall.googleplex.com / referral,16,0:04:02,4,11,$0.00,0
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Shoppers/Luxury Shoppers,1,mall.googleplex.com / referral,16,0:05:01,5,14,$0.00,0
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Lifestyles & Hobbies/Shutterbugs,1,mall.googleplex.com / referral,15.9,0:05:02,2,11,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Media & Entertainment/Movie Lovers,1,sites.google.com / referral,15.9,0:01:22,5,13,$0.00,0
desktop,Real Estate/Residential Properties,Home & Garden/Home Decor Enthusiasts,1,mall.googleplex.com / referral,15.9,0:05:57,6,13,$0.00,0
desktop,Travel/Air Travel,Media & Entertainment/Book Lovers,1,mall.googleplex.com / referral,15.9,0:03:36,4,12,$82.76,5.89
desktop,Consumer Electronics/Mobile Phones,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,15.9,0:04:30,5,26,$23.99,1
desktop,Gifts & Occasions/Gift Baskets,Shoppers/Value Shoppers,1,mall.googleplex.com / referral,15.9,0:03:36,4,10,$70.67,13
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Media & Entertainment/Music Lovers,1,mall.googleplex.com / referral,15.9,0:04:51,2,11,$0.00,0
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,0,mall.googleplex.com / referral,15.8,0:02:15,4,12,$62.29,5.5
desktop,Business Services/Advertising & Marketing Services,Food & Dining/Coffee Shop Regulars,0,mall.googleplex.com / referral,15.8,0:05:40,4,16,$56.44,3
desktop,Business Services/Advertising & Marketing Services,Vehicles & Transportation/Auto Enthusiasts,1,mall.googleplex.com / referral,15.7,0:04:11,4,18,$69.57,1
